,date,RF
0,201801,0.11
1,201802,0.11
2,201803,0.12
3,201804,0.14
4,201805,0.14
5,201806,0.14
6,201807,0.16
7,201808,0.16
8,201809,0.15
9,201810,0.19
10,201811,0.18
11,201812,0.19
12,201901,0.21
13,201902,0.18
14,201903,0.19
15,201904,0.21
16,201905,0.21
17,201906,0.18
18,201907,0.19
19,201908,0.16
20,201909,0.18
21,201910,0.15
22,201911,0.12
23,201912,0.14
24,202001,0.13
25,202002,0.12
26,202003,0.12
27,202004,0.0
28,202005,0.01
29,202006,0.01
30,202007,0.01
31,202008,0.01
32,202009,0.01
33,202010,0.01
34,202011,0.01
35,202012,0.01
36,202101,0.0
37,202102,0.0
38,202103,0.0
39,202104,0.0
40,202105,0.0
41,202106,0.0
42,202107,0.0
43,202108,0.0
44,202109,0.0
45,202110,0.0
46,202111,0.0
47,202112,0.01
48,202201,0.0
49,202202,0.0
50,202203,0.0
51,202204,0.0
52,202205,0.03
53,202206,0.06
54,202207,0.08
55,202208,0.19
56,202209,0.19
57,202210,0.23
58,202211,0.29
59,202212,0.33
